id,family_id,parent_id,name,bookkeeping,level,latitude,longitude,iso639P3code,description,markup_description,child_family_count,child_language_count,child_dialect_count,country_ids
brag1241,nucl1708,nucl1722,Bragat-Aruop-Amol,FALSE,family,,,,,,0,3,0,
brah1256,drav1251,nort2698,Brahui,FALSE,language,29.04,66.56,brh,,,0,0,3,AF IR PK
brah1260,sino1245,sino1245,Brahmaputran,FALSE,family,,,,,,29,42,156,
braj1242,indo1319,hary1239,Braj,FALSE,language,264.758,780.813,bra,,,0,0,6,IN
braz1247,indo1319,macr1272,Brazil-Portugal Portuguese,FALSE,family,,,,,,0,2,6,
brek1238,sino1245,kaya1316,Brek Karen,FALSE,language,190.561,968.365,kvl,,,0,0,0,MM
brem1238,nucl1709,mane1269,Barem,FALSE,language,-467.372,145.562,buq,,,0,0,0,PG
brer1240,ramu1234,brer1241,Breri,FALSE,language,-473.271,144.707,brq,,,0,0,0,PG
brer1241,ramu1234,tamo1242,Breri-Romkun,FALSE,family,,,,,,0,2,0,
bret1244,indo1319,bret1245,Breton,FALSE,language,482.452,-378.934,bre,,,0,0,4,FR
bret1245,indo1319,midd1379,Bretonic,FALSE,family,,,,,,0,2,4,
brib1243,chib1249,vice1244,Bribri,FALSE,language,939.794,-830.539,bzd,,,0,0,3,CR PA
brin1245,west2434,west2434,Bringen,FALSE,family,,,,,,2,8,4,
brit1245,indo1319,roma1330,British Romani,FALSE,family,,,,,,0,2,0,
brok1247,indo1319,shin1270,Brokskat,FALSE,language,345.308,766.026,bkk,,,0,0,0,IN
brok1248,sino1245,sout3217,Brokpake,FALSE,language,273.438,919.972,sgt,,,0,0,0,BT IN
brok1249,sino1245,sout3217,Dur Brokkat,FALSE,language,276.544,90.648,bro,,,0,0,0,BT
broo1239,aust1307,broo1240,Brooke's Point Palawano,FALSE,language,883.891,117.871,plw,,,0,0,1,PH
broo1240,aust1307,nucl1738,Brooke-Canipaan Palawan,FALSE,family,,,,,,0,2,1,
brou1236,aust1305,west1492,Brou-So,FALSE,family,,,,,,3,5,8,
brun1235,sout1293,sout1293,Bruny Island,FALSE,language,-43.373.112,147.247.925,xpz,,,0,0,0,AU
brun1242,aust1307,brun1246,Brunei,FALSE,language,4.456.045,114.429.505,kxd,,,0,0,3,BN MY
brun1245,aust1307,bisa1270,Brunei Bisaya-Dusun,FALSE,language,460.791,114.517,bsb,,,0,0,2,BN MY
