id,family_id,parent_id,name,bookkeeping,level,latitude,longitude,iso639P3code,description,markup_description,child_family_count,child_language_count,child_dialect_count,country_ids
adho1241,nilo1247,sout2831,Adhola-Alur-Luo,FALSE,family,,,,,,1,3,4,
adho1242,nilo1247,adho1241,Adhola-Luo,FALSE,family,,,,,,0,2,0,
adho1243,nilo1247,adho1242,Adhola,FALSE,language,73.235,340.341,adh,,,0,0,0,KE UG
adib1240,atla1278,odua1238,Adibom,FALSE,dialect,,,,,,0,0,0,
adid1237,drav1251,tami1289,Adi Dravida,FALSE,dialect,,,,,,0,0,0,
adie1238,atla1278,bako1249,Adie,FALSE,dialect,,,,,,0,0,0,
adih1238,hata1242,hata1243,Adihup,FALSE,dialect,,,,,,0,0,0,
adij1237,aust1307,kowi1239,Adijaya,FALSE,dialect,,,,,,0,0,0,
adim1238,atla1278,agwa1247,Adim,FALSE,dialect,,,,,,0,0,0,
adio1239,atla1278,agne1238,Adioukrou,FALSE,language,538.228,-452.522,adj,,,0,0,0,CI
adiv1238,indo1319,wagd1238,Adivasi Wagdi,FALSE,dialect,,,,,,0,0,0,
adiv1239,indo1319,macr1269,Kotia-Adivasi Oriya-Desiya,FALSE,language,181.046,828.487,ort,,,0,0,0,IN
adiw1235,indo1319,gara1268,Adiwasi Garasia,FALSE,language,240.712,731.426,gas,,,0,0,0,IN
adiy1237,drav1251,ravu1237,Adiya,FALSE,dialect,,,,,,0,0,0,
adja1238,pama1250,naru1238,Adjabdurah,FALSE,dialect,,,,,,0,0,0,
adju1239,cent2225,madi1260,Adjumani,FALSE,dialect,,,,,,0,0,0,
adku1239,indo1319,halb1244,Adkuri,FALSE,dialect,,,,,,0,0,0,
admi1239,aust1307,ocea1241,Admiralty Islands,FALSE,family,,,,,,15,31,20,
adny1235,pama1250,nort2752,Adnyamathanha,FALSE,language,-301.451,138.671,adt,,,0,0,0,AU
adom1238,atla1278,clel1238,Adoma,FALSE,dialect,,,,,,0,0,0,
adon1237,aust1307,nort3216,Adonara,FALSE,language,-832.027,123.159,adr,,,0,0,10,ID
adoo1237,aust1307,ledo1238,Ado,FALSE,dialect,,,,,,0,0,0,
adoy1238,nilo1247,anua1242,Adoyo,FALSE,dialect,,,,,,0,0,0,
adug1238,book1242,book1242,Aduge,TRUE,language,764.567,613.085,adu,,,0,0,0,NG
adun1238,atla1278,cros1244,Adun,FALSE,dialect,,,,,,0,0,0,
adur1234,spee1234,indo1335,Adurgari,FALSE,language,33.79,69.32,,,,0,0,0,AF
aduu1238,nort2923,taba1263,Adu,FALSE,dialect,,,,,,0,0,0,
adyg1241,abkh1242,circ1239,West Circassian,FALSE,language,44.0,39.33,ady,,,0,0,6,IL JO RU SY TR
adze1240,aust1307,uppe1423,Adzera,FALSE,language,-639.394,146.294,adz,,,0,0,0,PG
adze1241,book1242,book1242,Adzera (Retired),TRUE,language,,,azr,,,0,0,0,
adzh1238,kart1248,sout3358,Adzhar,FALSE,dialect,,,,,,0,0,0,
aegi1237,indo1319,sout3279,Aegina,FALSE,dialect,,,,,,0,0,0,
aeka1244,nucl1709,orok1268,Aeka,FALSE,language,-8.855.095,14.799.477,aez,,,0,0,0,PG
aeky1238,kamu1264,awin1249,Aekyom,FALSE,language,-588.478,141.532,awi,,,0,0,3,PG
aeol1234,indo1319,anci1249,Aeolic,FALSE,dialect,,,,,,0,0,0,
aequ1239,indo1319,umbr1253,Aequian,FALSE,dialect,,,,,,0,0,0,
aerr1238,indo1319,west2830,Aer,FALSE,language,25.254,69.029,aeq,,,0,0,2,PK
aewa1238,anim1240,kuni1265,Aewa (Western Province),FALSE,dialect,,,,,,0,0,0,
afaa1238,atla1278,arig1246,Afa,FALSE,dialect,,,,,,0,0,0,
afad1236,afro1255,koto1268,Afade,FALSE,language,12.0551,146.343,aal,,,0,0,0,CM NG
afar1241,afro1255,saho1245,Afar,FALSE,language,12.2281,418.083,aar,,,0,0,4,DJ ER ET
afas1238,afro1255,soma1255,Af-Ashraaf,FALSE,dialect,,,,,,0,0,0,
afen1234,atla1278,nort3182,Afenmai-Bendel,FALSE,family,,,,,,1,3,8,
affa1240,afro1255,lagw1237,Affade,FALSE,dialect,,,,,,0,0,0,
affi1239,atla1278,band1340,Affiniam,FALSE,dialect,,,,,,0,0,0,
afgh1239,sign1238,deaf1237,Afghan Sign Language,FALSE,language,34.434.167,70.447.778,afg,,,0,0,0,AF
afgh1240,mixe1287,pers1247,Afghanistan Gorbat,FALSE,language,,,,,,0,0,0,AF
afgh1241,indo1319,sarh1234,Afghanistan Balochi,FALSE,dialect,,,,,,0,0,0,
afhe1238,afro1255,maay1238,Af-Helledi,FALSE,dialect,,,,,,0,0,0,
afik1238,atla1278,nucl1417,Afikpo,FALSE,dialect,,,,,,0,0,0,
afit1238,nyim1244,nyim1244,Afitti,FALSE,language,12.446,307.611,aft,,,0,0,0,SD
afor1239,koia1260,esee1247,Afore,FALSE,dialect,,,,,,0,0,0,
afri1271,indo1319,nort2648,Afridi,FALSE,dialect,,,,,,0,0,0,
afri1272,atla1278,putu1241,Afrike,FALSE,dialect,,,,,,0,0,0,
afri1273,indo1319,glob1241,Afrikaansic,FALSE,family,,,,,,0,2,3,
afri1274,indo1319,afri1273,Afrikaans,FALSE,language,-3.163.272,2.046.356,afr,,,0,0,3,BW MZ NA ZA ZM ZW
afri1275,arti1236,arti1236,Afrihili,FALSE,language,,,afh,,,0,0,0,GH
afri1276,indo1319,sout3302,African American Vernacular English,FALSE,dialect,,,,,,0,0,4,
afro1254,indo1319,gull1243,Afro-Seminole Creole,FALSE,language,317.843,-992.934,afs,,,0,0,0,MX US
afro1255,,,Afro-Asiatic,FALSE,family,,,,,,249,381,828,
afro1260,indo1319,boli1265,Afro-Bolivian Spanish,FALSE,dialect,,,,,,0,0,0,
afsh1238,turk1311,sout2697,Afshari,FALSE,dialect,,,,,,0,0,0,
afsh1239,turk1311,qash1240,Afsharic,FALSE,dialect,,,,,,0,0,0,
afta1234,indo1319,sork1239,Aftari,FALSE,dialect,35.36,53.7,,,,0,0,0,IR
afud1235,atla1278,unun9911,Afudu,FALSE,language,9.831.149,11.296.849,,,,0,0,0,NG
agaa1241,mong1349,mong1330,Aga,FALSE,dialect,,,,,,0,0,0,
agal1241,gumu1250,gumu1244,Agalo,FALSE,dialect,,,,,,0,0,0,
agam1238,aust1307,mina1268,Agam,FALSE,dialect,,,,,,0,0,0,
agan1234,ural1272,surg1248,Agan,FALSE,dialect,,,,,,0,0,0,
agan1235,ural1272,fore1274,Agan Nenets,FALSE,dialect,,,,,,0,0,0,
agar1249,nilo1247,sout2833,Agar,FALSE,dialect,,,,,,0,0,0,
agar1250,indo1319,konk1267,Agari of Kolaba,FALSE,dialect,,,,,,0,0,0,
agar1251,unat1236,drav1252,Agariya,FALSE,language,245.024,82.297,agi,,,0,0,0,IN
agar1252,nucl1709,gads1260,Agarabi,FALSE,language,-620.604,145.917,agd,,,0,0,0,PG
agat1236,atla1278,idom1263,Agatu,FALSE,language,797.915,771.639,agc,,,0,0,0,NG
agau1239,atla1278,tsik1238,Agaunshe,FALSE,dialect,,,,,,0,0,0,
agav1236,unat1236,araw1288,Agavotaguerra,FALSE,language,-1.329.849,-5.343.936,avo,,,0,0,0,BR
agay1235,nucl1709,koke1241,Agayop,FALSE,dialect,,,,,,0,0,0,
agba1238,atla1278,urho1239,Agbarho,FALSE,dialect,,,,,,0,0,0,
agbi1234,spee1234,atla1282,Agbirigba,FALSE,language,,,,,,0,0,0,NG
agbo1241,atla1278,fonn1241,Agbome,FALSE,dialect,,,,,,0,0,0,
agbo1242,atla1278,urho1239,Agbon,FALSE,dialect,,,,,,0,0,0,
agee1238,nilo1247,nort2815,Ageer,FALSE,dialect,,,,,,0,0,0,
aghe1239,atla1278,aghe1241,Aghem,FALSE,language,638.956,10.0807,agq,,,0,0,0,CM
aghe1240,atla1278,west2835,Aghemic,FALSE,family,,,,,,1,4,0,
aghe1241,atla1278,aghe1240,Aghem-Weh,FALSE,family,,,,,,0,2,0,
agho1238,atla1278,ogbi1239,Agholo,FALSE,dialect,,,,,,0,0,0,
aghu1253,nakh1245,aghu1260,Aghul,FALSE,language,419.242,475.843,agx,,,0,0,6,AZ RU
aghu1254,pama1250,thay1250,Aghu Tharnggalu,FALSE,language,-13.735,142.426,ggr,,,0,0,0,AU
aghu1255,nucl1709,mapp1234,Aghu,FALSE,language,-634.674,140.043,ahh,,,0,0,0,ID
aghu1256,book1242,book1242,Aghu Tharnggalu (Retired),TRUE,language,-15.0,144.0,gtu,,,0,0,0,AU
aghu1259,nakh1245,east2367,Aghul-Lezgi,FALSE,family,,,,,,1,3,14,
aghu1260,nakh1245,aghu1259,Aghulic,FALSE,family,,,,,,0,2,6,
aghw1237,nakh1245,udia1235,Aghwan,FALSE,language,40.374.444,47.126.667,xag,,,0,0,0,AZ
agii1244,cent2225,moru1253,Agi (Moru),FALSE,dialect,,,,,,0,0,0,
agii1245,nucl1708,agiy1234,Agi,FALSE,language,-349.104,142.387,aif,,,0,0,0,PG
agiy1234,nucl1708,west2788,Agi-Yeri,FALSE,family,,,,,,0,2,0,
agne1238,atla1278,nyoa1234,Agneby,FALSE,family,,,,,,0,3,6,
agoa1234,ramu1234,ramu1234,Agoan,FALSE,family,,,,,,0,2,3,
agob1244,paho1240,paho1240,Agob-Ende-Kawam,FALSE,language,-908.521,142.532,kit,,,0,0,3,PG
agob1245,paho1240,agob1244,Agöb,FALSE,dialect,,,,,,0,0,0,
agoi1244,atla1278,genn1243,Agoi (Gen),FALSE,dialect,,,,,,0,0,0,
agoi1245,atla1278,uppe1418,Agoi-Doko-Iyoniyong,FALSE,family,,,,,,0,3,2,
agoi1246,atla1278,agoi1245,Robambami,FALSE,language,587.953,821.629,ibm,,,0,0,2,NG
agoi1247,atla1278,agoi1246,Agoi-Efom,FALSE,dialect,,,,,,0,0,0,
agon1238,atla1278,akan1250,Agona,FALSE,dialect,,,,,,0,0,0,
agra1238,afro1255,birg1239,Agrab,FALSE,dialect,,,,,,0,0,0,
agta1234,aust1307,para1320,Agta-Pahanan,FALSE,language,170.538,1.222.802,apf,,,0,0,0,PH
